,한글 이름,원제,시즌 수,재생 시간,장르,연령 등급,Production country,감독
68,웰매니아: 리브의 건강찾기 프로젝트,Wellmania,1개 시즌,31min,"코미디, 드라마",19,호주,
69,타피,Class Act,1개 시즌,54min,"역사, 드라마",,프랑스,Tristan Séguéla
70,나의 해피엔드,,1개 시즌,1시간 5분,"스릴러, 드라마",15,대한민국,Jo Soo-won
71,사랑하는 아이,Liebes Kind,1개 시즌,48min,"드라마, 스릴러, 범죄",15,독일,"Isabel Kleefeld ,  Julian Pörksen"
72,종말에 대처하는 캐럴의 자세,Carol & The End of the World,1개 시즌,29min,"애니메이션, 코미디, 드라마, SF",19,"캐나다, 미국",
73,눈 떠보니 뱀파이어,I Woke Up a Vampire,2개 시즌,26min,"코미디, SF, 드라마, 가족, 판타지, 공포",12,캐나다,
74,너에게 닿기를,君に届け,1개 시즌,34min,"드라마, 코미디, 로맨스",12,일본,
75,옵세션,Obsession,1개 시즌,39min,"드라마, 로맨스, 스릴러",,"프랑스, 영국",
76,고려거란전쟁,,1개 시즌,53min,"드라마, 전쟁, 액션, 역사",15,대한민국,Jeon Woo-sung
77,High Tides,,1개 시즌,34min,드라마,,벨기에,
78,트랜스아틀란틱,Transatlantic,1개 시즌,50min,"전쟁, 드라마, 역사",,독일,"Mia Meyer ,  Stéphanie Chuat ,  Véronique Reymond"
79,프리리지,Freeridge,1개 시즌,28min,"드라마, 로맨스, 코미디, 스릴러",15,미국,
80,이혼 좀 합시다,離婚しようよ,1개 시즌,1시간 2분,"코미디, 드라마, 로맨스",12,일본,
81,이 연애는 불가항력,,1개 시즌,1시간 5분,"SF, 드라마, 판타지, 로맨스",15,대한민국,Nam Ki-hoon
82,더 너스,The Nurse,1개 시즌,48min,"스릴러, 범죄, 드라마",15,덴마크,Kasper Barfoed
83,특종,Scoop,1개 시즌,58min,"범죄, 드라마",15,인도,Hansal Mehta
84,추나,चूना,1개 시즌,42min,"코미디, 드라마, 범죄, 스릴러",15,인도,Pushpendra Nath Misra
85,턴 오브 타이드,Rabo de Peixe,1개 시즌,48min,드라마,19,포르투갈,
86,마당이 있는 집,,1개 시즌,1시간 2분,"드라마, 범죄, 스릴러",15,대한민국,Jung Jee-hyun
87,코펜하겐 카우보이,Copenhagen Cowboy,1개 시즌,52min,"드라마, 스릴러, 범죄",,덴마크,
88,정신병동에도 아침이 와요,,1개 시즌,1시간 5분,드라마,15,대한민국,JQ Lee
89,닥터 가르시아의 환자들,Los pacientes del doctor García,1개 시즌,56min,드라마,19,스페인,
90,익스체인지,الصفقة,1개 시즌,51min,드라마,,쿠웨이트,"Karim El Shenawy ,  Jassim Al-Muhanna"
91,행복배틀,,1개 시즌,1시간 0분,"드라마, 스릴러",15,대한민국,Kim Yun-cheol
92,가면의 여왕,,1개 시즌,1시간 12분,드라마,15,대한민국,
93,청담국제고등학교,,1개 시즌,35min,"스릴러, 드라마",15,대한민국,Min Ji-young
94,샤흐마란,Şahmaran,1개 시즌,51min,"액션, 로맨스, 스릴러, 드라마, 판타지",,터키,Umur Turagay
95,세상이 이래도 난 끄떡없어,Questo mondo non mi renderà cattivo,1개 시즌,30min,"코미디, 드라마, 애니메이션",,이탈리아,
